Family,Species,Wood_Density_g_cm3,DBH_cm,Height_m
Annonaceae,Xylopia rubescens,0.59682,40.6,21.64
Annonaceae,Xylopia rubescens,0.59682,17,23.34
Putranjivaceae,Drypetes occidentalis,0.71525,35.7,11.64
Annonaceae,Xylopia rubescens,0.59682,42.3,18.64
Euphorbiaceae,Crotonogyne giorgii,0.434883333,13.5,5.44
Rubiaceae,Psychotria djumaensis,0.69565607,21.8,7.84
Meliaceae,Entandrophragma palustre,0.534896991,12.2,16.84
Meliaceae,Carapa procera,0.6042,11.6,11.04
Annonaceae,Xylopia rubescens,0.59682,17,23.34
Meliaceae,Entandrophragma palustre,0.534896991,26.4,17.44
Sapindaceae,Eriocoelum microspermum,0.523,11.2,13.44
Fabaceae,Newtonia devredii,0.586382857,26.4,12.34
Fabaceae,Newtonia devredii,0.586382857,15.2,11.04
Euphorbiaceae,Macaranga spinosa,0.380166667,16.5,20.84
Sapindaceae,Eriocoelum microspermum,0.523,42.3,18.64
Putranjivaceae,Drypetes occidentalis,0.71525,26.4,12.34
Salicaceae,Casearia barteri,0.508,33.4,19.84
Meliaceae,Carapa procera,0.6042,17,23.34
Annonaceae,Xylopia rubescens,0.59682,22.4,24.34
Salicaceae,Casearia barteri,0.508,18.6,21.34
Annonaceae,Xylopia rubescens,0.59682,13.9,10.04
Annonaceae,Xylopia rubescens,0.59682,10.8,22.84
Sapindaceae,Eriocoelum microspermum,0.523,34.3,13.44
Euphorbiaceae,Macaranga spinosa,0.380166667,37.3,9.64
Annonaceae,Xylopia rubescens,0.59682,13.1,15.34
Fabaceae,Newtonia devredii,0.586382857,79.9,43.34
Meliaceae,Carapa procera,0.6042,34.3,13.44
Salicaceae,Casearia barteri,0.508,29.3,18.44
Euphorbiaceae,Macaranga spinosa,0.380166667,29.8,18.64
Annonaceae,Xylopia rubescens,0.59682,45.9,19.04
Sapotaceae,Manilkara fouilloyana,0.861,12.1,20.64
Putranjivaceae,Drypetes occidentalis,0.71525,34.3,13.44
Rubiaceae,Indet indet,0.69565607,30.2,12.34
Euphorbiaceae,Macaranga spinosa,0.380166667,11.2,13.44
Putranjivaceae,Drypetes occidentalis,0.71525,73.3,34.34
Sapindaceae,Eriocoelum microspermum,0.523,26.4,29.84
Rubiaceae,Indet indet,0.69565607,13.1,15.34
Meliaceae,Carapa procera,0.6042,10.8,14.84
Sapotaceae,Manilkara fouilloyana,0.861,10.1,6.04
Annonaceae,Xylopia rubescens,0.59682,12.4,16.84
Annonaceae,Xylopia rubescens,0.59682,33.4,19.84
Annonaceae,Xylopia rubescens,0.59682,10.1,6.04
Putranjivaceae,Drypetes occidentalis,0.71525,12.1,20.64
Sapindaceae,Eriocoelum microspermum,0.523,34.4,29.34
Ebenaceae,Diospyros gilletii,0.83328125,12.1,20.64
Annonaceae,Xylopia rubescens,0.59682,16.5,20.84
Meliaceae,Carapa procera,0.6042,58.4,27.84
Annonaceae,Xylopia rubescens,0.59682,73.3,34.34
Salicaceae,Casearia barteri,0.508,25.3,23.84
Euphorbiaceae,Grossera macrantha,0.434883333,10.6,10.04
Euphorbiaceae,Macaranga spinosa,0.380166667,20.3,23.84
Ebenaceae,Diospyros gilletii,0.83328125,16.1,9.86
Ebenaceae,Diospyros gilletii,0.83328125,18.6,21.34
Annonaceae,Xylopia rubescens,0.59682,12.4,16.84
Euphorbiaceae,Crotonogyne giorgii,0.434883333,30.9,27.84
Clusiaceae,Symphonia globulifera,0.588714286,10.6,10.04
Rubiaceae,Indet indet,0.69565607,24.6,16.04
Meliaceae,Carapa procera,0.6042,12.4,16.84
Clusiaceae,Symphonia globulifera,0.588714286,26.4,17.44
Putranjivaceae,Drypetes occidentalis,0.71525,17.9,7.84
Sapindaceae,Eriocoelum microspermum,0.523,16.6,13.84
Sapindaceae,Eriocoelum microspermum,0.523,58.4,27.84
Euphorbiaceae,Grossera macrantha,0.434883333,10.8,22.84
