Family,Genus,Species,Wood_Density_g_cm3,DBH_mm
Putranjivaceae,Drypetes,occidentalis,0.71525,222
Meliaceae,Carapa,procera,0.6042,244
Sapotaceae,Manilkara,letouzei,0.864975,202
Sapindaceae,Eriocoelum,microspermum,0.523,144
Sapotaceae,Manilkara,fouilloyana,0.861,127
Euphorbiaceae,Grossera,macrantha,0.434883333,100
Annonaceae,Xylopia,aethiopica,0.442,272
Putranjivaceae,Drypetes,occidentalis,0.71525,107
Euphorbiaceae,Grossera,macrantha,0.434883333,114
Phyllanthaceae,Uapaca,paludosa,0.652,191
Phyllanthaceae,Uapaca,paludosa,0.652,178
Euphorbiaceae,Grossera,macrantha,0.434883333,348
Putranjivaceae,Drypetes,occidentalis,0.71525,112
Phyllanthaceae,Uapaca,paludosa,0.652,100
Euphorbiaceae,Grossera,macrantha,0.434883333,372
Meliaceae,Carapa,procera,0.6042,222
Putranjivaceae,Drypetes,occidentalis,0.71525,365
Euphorbiaceae,Grossera,macrantha,0.434883333,175
Annonaceae,Xylopia,aethiopica,0.442,116
Euphorbiaceae,Grossera,macrantha,0.434883333,193
Putranjivaceae,Drypetes,occidentalis,0.71525,329
Meliaceae,Carapa,procera,0.6042,293
Phyllanthaceae,Uapaca,paludosa,0.652,217
Annonaceae,Xylopia,rubescens,0.59682,185
Euphorbiaceae,Grossera,macrantha,0.434883333,433
Euphorbiaceae,Grossera,macrantha,0.434883333,282
Putranjivaceae,Drypetes,occidentalis,0.71525,115
Phyllanthaceae,Uapaca,paludosa,0.652,242
Sapotaceae,Chrysophyllum,ubangiense,0.608380247,193
Salicaceae,Casearia,barteri,0.508,454
Euphorbiaceae,Grossera,macrantha,0.434883333,123
Meliaceae,Entandrophragma,palustre,0.534896991,308
Sapotaceae,Manilkara,fouilloyana,0.861,220
Putranjivaceae,Drypetes,occidentalis,0.71525,375
Euphorbiaceae,Grossera,macrantha,0.434883333,215
Annonaceae,Xylopia,aethiopica,0.442,138
Euphorbiaceae,Grossera,macrantha,0.434883333,180
Clusiaceae,Symphonia,globulifera,0.588714286,174
Euphorbiaceae,Grossera,macrantha,0.434883333,285
Sapotaceae,Manilkara,fouilloyana,0.861,101
Phyllanthaceae,Uapaca,paludosa,0.652,215
Euphorbiaceae,Grossera,macrantha,0.434883333,109
Annonaceae,Xylopia,aethiopica,0.442,215
Meliaceae,Entandrophragma,palustre,0.534896991,165
Phyllanthaceae,Uapaca,paludosa,0.652,217
Meliaceae,Carapa,procera,0.6042,101
Meliaceae,Carapa,procera,0.6042,114
Indet,Indet,indet,0.603166331,210
Meliaceae,Carapa,procera,0.6042,451
Indet,Indet,indet,0.603166331,279
Phyllanthaceae,Cleistanthus,mildbraedii,0.921,176
Meliaceae,Entandrophragma,palustre,0.534896991,850
Clusiaceae,Symphonia,globulifera,0.588714286,105
Euphorbiaceae,Grossera,macrantha,0.434883333,280
Phyllanthaceae,Uapaca,paludosa,0.652,192
Phyllanthaceae,Uapaca,paludosa,0.652,209
Phyllanthaceae,Uapaca,paludosa,0.652,305
Meliaceae,Carapa,procera,0.6042,569
Euphorbiaceae,Grossera,macrantha,0.434883333,285
Annonaceae,Xylopia,aethiopica,0.442,569
Pandanaceae,Pandanus,candelabrum,0.603166331,350
Meliaceae,Carapa,procera,0.6042,182
Putranjivaceae,Drypetes,occidentalis,0.71525,323
Phyllanthaceae,Cleistanthus,mildbraedii,0.921,133
Euphorbiaceae,Grossera,macrantha,0.434883333,608
Annonaceae,Xylopia,rubescens,0.59682,336
Meliaceae,Carapa,procera,0.6042,138
Meliaceae,Entandrophragma,palustre,0.534896991,163
Phyllanthaceae,Uapaca,paludosa,0.652,1005
Euphorbiaceae,Grossera,macrantha,0.434883333,616
Sapotaceae,Manilkara,fouilloyana,0.861,753
Euphorbiaceae,Grossera,macrantha,0.434883333,960
Annonaceae,Xylopia,rubescens,0.59682,400
Sapotaceae,Manilkara,fouilloyana,0.861,163
Meliaceae,Carapa,procera,0.6042,446
Meliaceae,Carapa,procera,0.6042,365
Phyllanthaceae,Uapaca,paludosa,0.652,130
Putranjivaceae,Drypetes,occidentalis,0.71525,910
Meliaceae,Carapa,procera,0.6042,307
Meliaceae,Carapa,procera,0.6042,405
Putranjivaceae,Drypetes,occidentalis,0.71525,182
Malvaceae,Sterculia,tragacantha,0.51425,163
Putranjivaceae,Drypetes,occidentalis,0.71525,165
Phyllanthaceae,Uapaca,paludosa,0.652,436
Phyllanthaceae,Cleistanthus,mildbraedii,0.921,264
Meliaceae,Carapa,procera,0.6042,543
Phyllanthaceae,Uapaca,paludosa,0.652,115
Clusiaceae,Symphonia,globulifera,0.588714286,147
Phyllanthaceae,Uapaca,paludosa,0.652,295
Meliaceae,Carapa,procera,0.6042,286
Euphorbiaceae,Grossera,macrantha,0.434883333,288
Putranjivaceae,Drypetes,occidentalis,0.71525,390
Annonaceae,Xylopia,rubescens,0.59682,214
Meliaceae,Carapa,procera,0.6042,120
Clusiaceae,Symphonia,globulifera,0.588714286,101
Sapotaceae,Manilkara,fouilloyana,0.861,278
Meliaceae,Entandrophragma,palustre,0.534896991,157
Annonaceae,Xylopia,aethiopica,0.442,102
Phyllanthaceae,Cleistanthus,mildbraedii,0.921,272
Phyllanthaceae,Uapaca,paludosa,0.652,324
Putranjivaceae,Drypetes,occidentalis,0.71525,507
Meliaceae,Carapa,procera,0.6042,297
Euphorbiaceae,Grossera,macrantha,0.434883333,151
Euphorbiaceae,Grossera,macrantha,0.434883333,134
Annonaceae,Xylopia,rubescens,0.59682,329
Meliaceae,Entandrophragma,palustre,0.534896991,158
Phyllanthaceae,Uapaca,paludosa,0.652,123
Phyllanthaceae,Uapaca,paludosa,0.652,175
Putranjivaceae,Drypetes,occidentalis,0.71525,513
Annonaceae,Xylopia,rubescens,0.59682,146
Clusiaceae,Symphonia,globulifera,0.588714286,118
Clusiaceae,Symphonia,globulifera,0.588714286,454
Phyllanthaceae,Uapaca,paludosa,0.652,217
Fabaceae,Daniellia,pynaertii,0.4,607
Pandanaceae,Pandanus,candelabrum,0.603166331,119
Phyllanthaceae,Uapaca,paludosa,0.652,191
Meliaceae,Carapa,procera,0.6042,890
Meliaceae,Carapa,procera,0.6042,132
Meliaceae,Carapa,procera,0.6042,109
Meliaceae,Carapa,procera,0.6042,100
Euphorbiaceae,Grossera,macrantha,0.434883333,188
Phyllanthaceae,Uapaca,paludosa,0.652,176
Sapindaceae,Eriocoelum,microspermum,0.523,119
Putranjivaceae,Drypetes,occidentalis,0.71525,308
Phyllanthaceae,Uapaca,paludosa,0.652,157
Sapotaceae,Manilkara,fouilloyana,0.861,343
Phyllanthaceae,Bridelia,indet,0.514208333,259
Meliaceae,Entandrophragma,palustre,0.534896991,301
Meliaceae,Carapa,procera,0.6042,194
Phyllanthaceae,Uapaca,paludosa,0.652,180
Meliaceae,Carapa,procera,0.6042,272
Sapindaceae,Eriocoelum,microspermum,0.523,295
Phyllanthaceae,Uapaca,paludosa,0.652,134
Annonaceae,Xylopia,aethiopica,0.442,267
Meliaceae,Carapa,procera,0.6042,213
Rubiaceae,Hallea,stipulosa,0.478714286,280
Phyllanthaceae,Uapaca,paludosa,0.652,125
Putranjivaceae,Drypetes,occidentalis,0.71525,184
Putranjivaceae,Drypetes,occidentalis,0.71525,325
Phyllanthaceae,Uapaca,paludosa,0.652,120
Phyllanthaceae,Uapaca,paludosa,0.652,242
Sapotaceae,Manilkara,fouilloyana,0.861,101
Euphorbiaceae,Grossera,macrantha,0.434883333,390
Putranjivaceae,Drypetes,occidentalis,0.71525,288
Phyllanthaceae,Uapaca,paludosa,0.652,116
Euphorbiaceae,Grossera,macrantha,0.434883333,130
Sapotaceae,Manilkara,fouilloyana,0.861,328
Putranjivaceae,Drypetes,occidentalis,0.71525,778
Meliaceae,Carapa,procera,0.6042,156
Meliaceae,Entandrophragma,palustre,0.534896991,753
Sapotaceae,Manilkara,fouilloyana,0.861,112
Putranjivaceae,Drypetes,occidentalis,0.71525,185
Euphorbiaceae,Grossera,macrantha,0.434883333,180
Sapotaceae,Manilkara,fouilloyana,0.861,185
Euphorbiaceae,Grossera,macrantha,0.434883333,105
Euphorbiaceae,Grossera,macrantha,0.434883333,135
Putranjivaceae,Drypetes,occidentalis,0.71525,288
Meliaceae,Carapa,procera,0.6042,272
Phyllanthaceae,Uapaca,paludosa,0.652,351
Phyllanthaceae,Uapaca,paludosa,0.652,182
Phyllanthaceae,Uapaca,paludosa,0.652,637
Meliaceae,Carapa,procera,0.6042,108
Meliaceae,Carapa,procera,0.6042,325
Putranjivaceae,Drypetes,occidentalis,0.71525,104
Phyllanthaceae,Uapaca,paludosa,0.652,105
Annonaceae,Xylopia,aethiopica,0.442,126
Meliaceae,Carapa,procera,0.6042,607
Phyllanthaceae,Uapaca,paludosa,0.652,104
Meliaceae,Carapa,procera,0.6042,293
Annonaceae,Xylopia,aethiopica,0.442,191
Meliaceae,Entandrophragma,palustre,0.534896991,112
Sapindaceae,Eriocoelum,microspermum,0.523,396
Euphorbiaceae,Grossera,macrantha,0.434883333,136
Euphorbiaceae,Grossera,macrantha,0.434883333,439
Meliaceae,Entandrophragma,palustre,0.534896991,123
Phyllanthaceae,Cleistanthus,mildbraedii,0.921,181
Annonaceae,Xylopia,aethiopica,0.442,425
Annonaceae,Xylopia,aethiopica,0.442,293
Phyllanthaceae,Uapaca,paludosa,0.652,127
Phyllanthaceae,Uapaca,paludosa,0.652,146
Annonaceae,Xylopia,aethiopica,0.442,102
Phyllanthaceae,Uapaca,paludosa,0.652,182
