site,Date,ConcLow,ConcHigh,Uncen,ConcAve,Julian,Month,Day,DecYear,MonthSeq,waterYear,SinDY,CosDY
Buck Creek,04/10/2005,4.781,4.781,1,4.781,56889,10,278,2005.7569634703195,1870,2006,-0.999043,0.043738816
Buck Creek,04/10/2016,3.96,3.96,1,3.96,60907,10,278,2016.7576275045537,2002,2017,-0.998851816,0.047906680885944276
Buck Creek,05/10/2004,15.176,15.176,1,15.176,56525,10,279,2004.7603597449909,1858,2005,-0.997882251,0.065046241
Buck Creek,06/10/2010,10.098,10.098,1,10.098,58717,10,280,2010.7624429223745,1930,2011,-0.996945407,0.078101567
Buck Creek,06/10/2015,4.94,4.94,1,4.94,60543,10,280,2015.7624429223745,1990,2016,-0.996945407,0.078101567
Buck Creek,07/10/2003,6.695,6.695,1,6.695,56161,10,281,2003.7651826484018,1846,2004,-0.995453309,0.095250772
Buck Creek,07/10/2005,6.479,6.479,1,6.479,56892,10,281,2005.7651826484018,1870,2006,-0.995453309,0.095250772
Buck Creek,07/10/2013,9.728,9.728,1,9.728,59814,10,281,2013.7651826484018,1966,2014,-0.995453309,0.095250772
Buck Creek,07/10/2014,7.334,7.334,1,7.334,60179,10,281,2014.7651826484018,1978,2015,-0.995453309,0.095250772
Buck Creek,07/10/2019,10.75,10.75,1,10.75,62005,10,281,2019.7651826484018,2038,2020,-0.995453309,0.095250772
Buck Creek,08/10/2001,5.983,5.983,1,5.983,55432,10,282,2001.7679223744292,1822,2002,-0.993666236,0.11237175161602116
Buck Creek,08/10/2002,4.475,4.475,1,4.475,55797,10,282,2002.7679223744292,1834,2003,-0.993666236,0.11237175161487006
Buck Creek,08/10/2005,11.575,11.575,1,11.575,56893,10,282,2005.7679223744292,1870,2006,-0.993666236,0.11237175161503173
Buck Creek,08/10/2013,10.975,10.975,1,10.975,59815,10,282,2013.7679223744292,1966,2014,-0.993666236,0.11237175161486032
Buck Creek,09/10/2005,8.878,8.878,1,8.878,56894,10,283,2005.7706621004565,1870,2006,-0.991584719,0.12945943335626814
Buck Creek,09/10/2012,7.663,7.663,1,7.663,59451,10,283,2012.7712887067396,1954,2013,-0.991067343,0.1333623716483536
Buck Creek,01/11/2005,6.991,6.991,1,6.991,56917,11,306,2005.8336757990867,1871,2006,-0.864947512,0.5018623335239997
Buck Creek,01/11/2013,12.053,12.053,1,12.053,59839,11,306,2013.8336757990867,1967,2014,-0.864947512,0.5018623335238505
Buck Creek,01/11/2016,7.272,7.272,1,7.272,60935,11,306,2016.8341302367942,2003,2017,-0.863511012,0.504329983
Buck Creek,01/11/2019,13.002,13.002,1,13.002,62030,11,306,2019.8336757990867,2039,2020,-0.864947512,0.5018623335241319
Buck Creek,10/11/2005,8.056,8.056,1,8.056,56926,11,315,2005.8583333333333,1871,2006,-0.777145961,0.6293203910500316
Buck Creek,10/11/2009,5.134,5.134,1,5.134,58387,11,315,2009.8583333333333,1919,2010,-0.777145961,0.6293203910492577
Buck Creek,10/11/2020,7.243,7.243,1,7.243,62405,11,315,2020.8587204007285,2051,2021,-0.775613147,0.6312085596103304
Buck Creek,12/11/2008,5.453,5.453,1,5.453,58024,11,317,2008.864184881603,1907,2009,-0.753488152,0.6574614851757388
Buck Creek,13/11/2007,4.932,4.932,1,4.932,57659,11,318,2007.8665525114154,1895,2008,-0.743624574,0.6685974072687687
Buck Creek,14/11/2006,6.012,6.012,1,6.012,57295,11,319,2006.869292237443,1883,2007,-0.732005593,0.6812986219861227
Buck Creek,14/11/2017,5.713,5.713,1,5.713,61313,11,319,2017.869292237443,2015,2018,-0.732005593,0.6812986219861156
Buck Creek,14/11/2018,7.062,7.062,1,7.062,61678,11,319,2018.869292237443,2027,2019,-0.732005593,0.6812986219865991
Buck Creek,14/11/2019,5.808,5.808,1,5.808,62043,11,319,2019.869292237443,2039,2020,-0.732005593,0.6812986219870826
Buck Creek,15/11/2005,5.36,5.36,1,5.36,56931,11,320,2005.8720319634704,1871,2006,-0.720169702,0.6937979532181462
Buck Creek,15/11/2016,5.74,5.74,1,5.74,60949,11,320,2016.8723816029144,2003,2017,-0.718643796,0.6953783821522957
Buck Creek,16/11/2004,4.009,4.009,1,4.009,56567,11,321,2004.8751138433515,1859,2005,-0.706600808,0.7076123929302613
Buck Creek,17/11/2015,6.668,6.668,1,6.668,60585,11,322,2015.877511415525,1991,2016,-0.695861287,0.718176211
Buck Creek,18/11/2003,5.712,5.712,1,5.712,56203,11,323,2003.8802511415524,1847,2004,-0.683395964,0.7300479134646732
Buck Creek,18/11/2014,6.493,6.493,1,6.493,60221,11,323,2014.8802511415524,1979,2015,-0.683395964,0.7300479134646666
Buck Creek,19/11/2002,4.562,4.562,1,4.562,55839,11,324,2002.882991,1835,2003,-0.670728137,0.7417032871179106
Buck Creek,19/11/2013,7.739,7.739,1,7.739,59857,11,324,2013.882991,1967,2014,-0.670728137,0.741703287
Buck Creek,02/11/2004,4.397,4.397,1,4.397,56553,11,307,2004.8368624772313,1859,2005,-0.854726277,0.519078984
Buck Creek,02/11/2013,9.714,9.714,1,9.714,59840,11,307,2013.8364155251143,1967,2014,-0.856180625,0.5166766267813682
Buck Creek,20/11/2001,4.411,4.411,1,4.411,55475,11,325,2001.8857305936074,1823,2002,-0.657861559,0.7531388780798987
Buck Creek,20/11/2012,4.726,4.726,1,4.726,59493,11,325,2012.8860428051003,1955,2013,-0.656382874,0.7544279437540033
Buck Creek,21/11/2007,5.676,5.676,1,5.676,57667,11,326,2007.8884703196347,1895,2008,-0.644800042,0.7643512977376979
Buck Creek,22/11/2007,7.345,7.345,1,7.345,57668,11,327,2007.891210045662,1895,2008,-0.631547456,0.7753372236097333
Buck Creek,22/11/2011,4.352,4.352,1,4.352,59129,11,327,2011.891210045662,1943,2012,-0.631547456,0.7753372236102533
Buck Creek,23/11/2007,6.11,6.11,1,6.11,57669,11,328,2007.8939497716894,1895,2008,-0.61810773,0.7860934003304122
Buck Creek,23/11/2010,5.759,5.759,1,5.759,58765,11,328,2010.8939497716894,1931,2011,-0.61810773,0.7860934003305128
Buck Creek,23/11/2020,7.838,7.838,1,7.838,62418,11,328,2020.8942395264116,2051,2021,-0.616675559,0.7872174131333742
Buck Creek,24/11/2009,5.66,5.66,1,5.66,58401,11,329,2009.8966894977168,1919,2010,-0.604484845,0.7966166406098609
Buck Creek,24/11/2020,8.156,8.156,1,8.156,62419,11,329,2020.8969717668488,2051,2021,-0.603071056,0.7976874708304298
Buck Creek,25/11/2008,4.907,4.907,1,4.907,58037,11,330,2008.899704007286,1907,2009,-0.589288826,0.8079224463670097
Buck Creek,26/11/2019,6.145,6.145,1,6.145,62055,11,331,2019.9021689497717,2039,2020,-0.576705799,0.8169519087470286
Buck Creek,27/11/2007,7.107,7.107,1,7.107,57673,11,332,2007.904908675799,1895,2008,-0.56255787,0.8267579108245247
Buck Creek,27/11/2018,7.862,7.862,1,7.862,61691,11,332,2018.904908675799,2027,2019,-0.56255787,0.8267579108245191
Buck Creek,28/11/2006,4.56,4.56,1,4.56,57309,11,333,2006.9076484018265,1883,2007,-0.548243242,0.8363189266891342
Buck Creek,28/11/2017,5.351,5.351,1,5.351,61327,11,333,2017.9076484018265,2015,2018,-0.548243242,0.8363189266891289
Buck Creek,29/11/2005,5.77,5.77,1,5.77,56945,11,334,2005.9103881278538,1871,2006,-0.533766159,0.8456321232075391
Buck Creek,29/11/2016,6.383,6.383,1,6.383,60963,11,334,2016.9106329690346,2003,2017,-0.532464622,0.8464522587617322
Buck Creek,03/11/2015,6.919,6.919,1,6.919,60571,11,308,2015.8391552511416,1991,2016,-0.847160034,0.5313378176031364
Buck Creek,30/11/2004,6.395,6.395,1,6.395,56581,11,335,2004.9133652094717,1859,2005,-0.517855683,0.8554679953621867
Buck Creek,04/11/2003,7.828,7.828,1,7.828,56189,11,309,2003.841894977169,1847,2004,-0.837888411,0.5458415615622024
Buck Creek,04/11/2014,5.678,5.678,1,5.678,60207,11,309,2014.841894977169,1979,2015,-0.837888411,0.5458415615621942
Buck Creek,05/11/2002,4.254,4.254,1,4.254,55825,11,310,2002.8446347031963,1835,2003,-0.828368504,0.5601835608848308
Buck Creek,05/11/2008,7.336,7.336,1,7.336,58017,11,310,2008.845059198543,1907,2009,-0.826871447,0.5623909760610671
Buck Creek,05/11/2013,6.25,6.25,1,6.25,59843,11,310,2013.8446347031963,1967,2014,-0.828368504,0.5601835608848227
Buck Creek,05/11/2020,9.398,9.398,1,9.398,62400,11,310,2020.845059198543,2051,2021,-0.826871447,0.5623909760601012
Buck Creek,06/11/2001,5.486,5.486,1,5.486,55461,11,311,2001.8473744292237,1823,2002,-0.818603133,0.5743595657301355
Buck Creek,06/11/2005,6.556,6.556,1,6.556,56922,11,311,2005.8473744292237,1871,2006,-0.818603133,0.5743595657308094
Buck Creek,06/11/2012,5.322,5.322,1,5.322,59479,11,311,2012.847791,1955,2013,-0.817095417,0.576502454
Buck Creek,06/11/2017,9.31,9.31,1,9.31,61305,11,311,2017.8473744292237,2015,2018,-0.818603133,0.5743595657298531
Buck Creek,08/11/2011,4.534,4.534,1,4.534,59115,11,313,2011.8528538812786,1943,2012,-0.798347647,0.6021968397924963
Buck Creek,09/11/2005,8.43,8.43,1,8.43,56925,11,314,2005.855593607306,1871,2006,-0.787863535,0.6158498602227747
Buck Creek,09/11/2010,5.458,5.458,1,5.458,58751,11,314,2010.855593607306,1931,2011,-0.787863535,0.6158498602239437
Buck Creek,01/12/2015,5.038,5.038,1,5.038,60599,12,336,2015.9158675799088,1992,2016,-0.504341829,0.8635040936504781
Buck Creek,10/12/2019,8.074,8.074,1,8.074,62069,12,345,2019.9405251141552,2040,2020,-0.36505486,0.930986009
Buck Creek,11/12/2007,4.176,4.176,1,4.176,57687,12,346,2007.9432648401826,1896,2008,-0.348975379,0.9371318929228584
Buck Creek,11/12/2018,5.864,5.864,1,5.864,61705,12,346,2018.9432648401826,2028,2019,-0.348975379,0.9371318929228549
Buck Creek,12/12/2006,4.272,4.272,1,4.272,57323,12,347,2006.9460045662101,1884,2007,-0.33279249,0.943000084
Buck Creek,12/12/2017,5.262,5.262,1,5.262,61341,12,347,2017.9460045662101,2016,2018,-0.33279249,0.9430000842118148
Buck Creek,13/12/2005,4.079,4.079,1,4.079,56959,12,348,2005.9487442922375,1872,2006,-0.316510987,0.9485888442242066
Buck Creek,13/12/2016,5.44,5.44,1,5.44,60977,12,348,2016.9488843351548,2004,2017,-0.315676186,0.9488669799198814
Buck Creek,14/12/2004,5.638,5.638,1,5.638,56595,12,349,2004.951616575592,1860,2005,-0.299341107,0.9541461636976958
Buck Creek,15/12/2015,7.998,7.998,1,7.998,60613,12,350,2015.9542237442922,1992,2016,-0.283671466,0.9589215294303582
Buck Creek,16/12/2003,4.786,4.786,1,4.786,56231,12,351,2003.9569634703196,1848,2004,-0.267123179,0.9636623928268501
Buck Creek,16/12/2014,4.39,4.39,1,4.39,60249,12,351,2014.9569634703196,1980,2015,-0.267123179,0.9636623928268475
Buck Creek,17/12/2002,3.66,3.66,1,3.66,55867,12,352,2002.959703196347,1836,2003,-0.250495738,0.9681177022583405
Buck Creek,17/12/2013,4.156,4.156,1,4.156,59885,12,352,2013.959703196347,1968,2014,-0.250495738,0.968117702
Buck Creek,18/12/2012,6.629,6.629,1,6.629,59521,12,353,2012.9625455373407,1956,2013,-0.23316714,0.9724366738777056
Buck Creek,19/12/2001,4.482,4.482,1,4.482,55504,12,354,2001.9651826484019,1824,2002,-0.217023122,0.9761664634184622
Buck Creek,02/12/2003,5.336,5.336,1,5.336,56217,12,337,2003.9186073059361,1848,2004,-0.489403302,0.872057572
Buck Creek,02/12/2014,6.235,6.235,1,6.235,60235,12,337,2014.9186073059361,1980,2015,-0.489403302,0.8720575717241232
Buck Creek,20/12/2011,4.67,4.67,1,4.67,59157,12,355,2011.9679223744292,1944,2012,-0.200187867,0.97975753
Buck Creek,21/12/2010,4.219,4.219,1,4.219,58793,12,356,2010.9706621004566,1932,2011,-0.183293292,0.9830582735300798
Buck Creek,22/12/2009,4.145,4.145,1,4.145,58429,12,357,2009.973401826484,1920,2010,-0.166344403,0.9860677155524509
