site,Date,ConcLow,ConcHigh,Uncen,ConcAve,Julian,Month,Day,DecYear,MonthSeq,waterYear,SinDY,CosDY
Buck Creek,27/01/2015,0.605,0.605,1,0.605,60291,1,27,2015.0720319634704,1981,2015,0.4372963875554076,0.8993174464175543
Buck Creek,28/01/2003,0.645,0.645,1,0.645,55909,1,28,2003.0747716894978,1837,2003,0.4527118688794147,0.8916568643686357
Buck Creek,28/01/2014,0.692,0.692,1,0.692,59927,1,28,2014.0747716894978,1969,2014,0.45271186887940595,0.8916568643686401
Buck Creek,29/01/2013,0.687,0.687,1,0.687,59563,1,29,2013.0775114155251,1957,2013,0.4679932019063279,0.8837320651472724
Buck Creek,03/01/2012,0.878,0.878,1,0.878,59171,1,3,2012.0062613843352,1945,2012,0.03933129,0.9992262254342382
Buck Creek,31/01/2012,1.123,1.123,1,1.123,59199,1,31,2012.0827641165756,1945,2012,0.49689947379780774,0.8678081083623624
Buck Creek,04/01/2011,0.626,0.626,1,0.626,58807,1,4,2011.0090182648403,1933,2011,0.056633112,0.9983950573897034
Buck Creek,05/01/2010,0.319,0.319,1,0.319,58443,1,5,2010.0117579908676,1921,2010,0.073810451,0.9972722884605321
Buck Creek,05/01/2021,0.251,0.251,1,0.251,62461,1,5,2021.0117579908676,2053,2021,0.073810451,0.9972722884605327
Buck Creek,06/01/2009,0.329,0.329,1,0.329,58079,1,6,2009.014497716895,1909,2009,0.090965918,0.995854006
Buck Creek,07/01/2020,0.274,0.274,1,0.274,62097,1,7,2020.0171903460837,2041,2020,0.10780024132269872,0.9941725745416476
Buck Creek,08/01/2002,0.424,0.424,1,0.424,55524,1,8,2002.0199771689497,1825,2002,0.12519091171478103,0.9921326703742912
Buck Creek,08/01/2008,0.557,0.557,1,0.557,57715,1,8,2008.019922586521,1897,2008,0.12485065095763347,0.9921755464409789
Buck Creek,08/01/2019,0.231,0.231,1,0.231,61733,1,8,2019.0199771689497,2029,2019,0.1251909117150941,0.9921326703742517
Buck Creek,09/01/2007,0.858,0.858,1,0.858,57351,1,9,2007.022716894977,1885,2007,0.1422502963381232,0.9898307194625332
Buck Creek,09/01/2018,0.337,0.337,1,0.337,61369,1,9,2018.022716894977,2017,2018,0.1422502963381135,0.9898307194625346
Buck Creek,01/10/2010,0.292,0.292,1,0.292,58712,10,275,2010.7487442922375,1930,2011,-0.999968875,-0.007889763
Buck Creek,01/10/2019,0.059,0.059,1,0.059,61999,10,275,2019.7487442922375,2038,2020,-0.999968875,-0.007889763
Buck Creek,11/10/2011,0.119,0.119,1,0.119,59087,10,285,2011.7761415525115,1942,2012,-0.986540904,0.16351466
Buck Creek,11/10/2018,0.07,0.07,1,0.07,61644,10,285,2018.7761415525115,2026,2019,-0.986540904,0.16351465988272615
Buck Creek,12/10/2007,0.076,0.076,1,0.076,57627,10,286,2007.7788812785388,1894,2008,-0.983580102,0.180472113
Buck Creek,12/10/2010,0.134,0.134,1,0.134,58723,10,286,2010.7788812785388,1930,2011,-0.983580102,0.180472113
Buck Creek,13/10/2007,0.088,0.088,1,0.088,57628,10,287,2007.7816210045662,1894,2008,-0.980327843,0.19737608907670762
Buck Creek,13/10/2009,0.029,0.029,1,0.029,58359,10,287,2009.7816210045662,1918,2010,-0.980327843,0.19737608907621954
Buck Creek,14/10/2008,0.08,0.08,1,0.08,57995,10,288,2008.7849499089252,1906,2009,-0.97598537,0.21783607884643422
Buck Creek,15/10/2003,0.179,0.179,1,0.179,56169,10,289,2003.787100456621,1846,2004,-0.972952898,0.2310035884211028
Buck Creek,15/10/2005,0.063,0.063,1,0.063,56900,10,289,2005.787100456621,1870,2006,-0.972952898,0.23100358842061838
Buck Creek,15/10/2019,0.043,0.043,1,0.043,62013,10,289,2019.787100456621,2038,2020,-0.972952898,0.23100358842076715
Buck Creek,16/10/2002,0.146,0.146,1,0.146,55805,10,290,2002.7898401826485,1834,2003,-0.968832398,0.24771714750857268
Buck Creek,16/10/2007,0.092,0.092,1,0.092,57631,10,290,2007.7898401826485,1894,2008,-0.968832398,0.24771714750824794
Buck Creek,16/10/2011,0.239,0.239,1,0.239,59092,10,290,2011.7898401826485,1942,2012,-0.968832398,0.24771714750728324
Buck Creek,16/10/2014,0.182,0.182,1,0.182,60188,10,290,2014.7898401826485,1978,2015,-0.968832398,0.24771714750744087
Buck Creek,17/10/2002,0.322,0.322,1,0.322,55806,10,291,2002.7925799086759,1834,2003,-0.964424811,0.26435730265617213
Buck Creek,17/10/2006,0.168,0.168,1,0.168,57267,10,291,2006.7925799086759,1882,2007,-0.964424811,0.2643573026552118
Buck Creek,17/10/2013,0.09,0.09,1,0.09,59824,10,291,2013.7925799086759,1966,2014,-0.964424811,0.26435730265616264
Buck Creek,17/10/2017,0.062,0.062,1,0.062,61285,10,291,2017.7925799086759,2014,2018,-0.964424811,0.26435730265520235
Buck Creek,17/10/2019,0.101,0.101,1,0.101,62015,10,291,2019.7925799086759,2038,2020,-0.964424811,0.26435730265647644
Buck Creek,18/10/2004,0.05,0.05,1,0.05,56538,10,292,2004.795878870674,1858,2005,-0.958738433,0.2842896701442167
Buck Creek,18/10/2005,0.085,0.085,1,0.085,56903,10,292,2005.7953196347032,1870,2006,-0.959731445,0.2809191230298604
Buck Creek,19/10/2007,0.063,0.063,1,0.063,57634,10,293,2007.7980593607306,1894,2008,-0.954753689,0.2973977010057762
Buck Creek,02/10/2007,0.129,0.129,1,0.129,57617,10,276,2007.7514840182648,1894,2008,-0.999956528,0.009324227
Buck Creek,02/10/2010,0.204,0.204,1,0.204,58713,10,276,2010.7514840182648,1930,2011,-0.999956528,0.009324227
Buck Creek,02/10/2018,0.055,0.055,1,0.055,61635,10,276,2018.7514840182648,2026,2019,-0.999956528,0.009324227
Buck Creek,20/10/2007,0.175,0.175,1,0.175,57635,10,294,2007.800799086758,1894,2008,-0.94949302,0.3137881536232566
Buck Creek,20/10/2015,0.053,0.053,1,0.053,60557,10,294,2015.800799086758,1990,2016,-0.94949302,0.31378815362309287
Buck Creek,21/10/2003,0.119,0.119,1,0.119,56175,10,295,2003.8035388127853,1846,2004,-0.943950995,0.33008562403966446
Buck Creek,21/10/2007,0.129,0.129,1,0.129,57636,10,295,2007.8035388127853,1894,2008,-0.943950995,0.3300856240387245
Buck Creek,21/10/2014,0.126,0.126,1,0.126,60193,10,295,2014.8035388127853,1978,2015,-0.943950995,0.3300856240396552
Buck Creek,22/10/2001,0.074,0.074,1,0.074,55446,10,296,2001.8062785388129,1822,2002,-0.938129257,0.34628528296307565
Buck Creek,22/10/2002,0.22,0.22,1,0.22,55811,10,296,2002.8062785388129,1834,2003,-0.938129257,0.34628528296198885
Buck Creek,22/10/2013,0.136,0.136,1,0.136,59829,10,296,2013.8062785388129,1966,2014,-0.938129257,0.3462852829619797
Buck Creek,23/10/2005,0.069,0.069,1,0.069,56908,10,297,2005.8090182648402,1870,2006,-0.932029531,0.3623823300822866
Buck Creek,23/10/2007,0.098,0.098,1,0.098,57638,10,297,2007.8090182648402,1894,2008,-0.932029531,0.3623823300818226
Buck Creek,23/10/2012,0.322,0.322,1,0.322,59465,10,297,2012.8095400728598,1954,2013,-0.930836411,0.36543614430732857
Buck Creek,25/10/2005,0.092,0.092,1,0.092,56910,10,299,2005.814497716895,1870,2006,-0.919003427,0.3942495411204847
Buck Creek,25/10/2007,0.097,0.097,1,0.097,57640,10,299,2007.814497716895,1894,2008,-0.919003427,0.3942495411200272
Buck Creek,25/10/2008,0.119,0.119,1,0.119,58006,10,299,2008.815004553734,1906,2009,-0.917743262,0.3971741492264611
Buck Creek,25/10/2011,0.291,0.291,1,0.291,59101,10,299,2011.814497716895,1942,2012,-0.919003427,0.39424954112078375
Buck Creek,26/10/2008,0.203,0.203,1,0.203,58007,10,300,2008.8177367941712,1906,2009,-0.910790008,0.412869908
Buck Creek,26/10/2010,0.169,0.169,1,0.169,58737,10,300,2010.8172374429223,1930,2011,-0.912080909,0.41001026209921704
Buck Creek,27/10/2003,0.164,0.164,1,0.164,56181,10,301,2003.8199771689497,1846,2004,-0.904888122,0.4256494881879452
Buck Creek,27/10/2007,0.073,0.073,1,0.073,57642,10,301,2007.8199771689497,1894,2008,-0.904888122,0.4256494881870442
Buck Creek,27/10/2008,0.127,0.127,1,0.127,58008,10,301,2008.8204690346083,1906,2009,-0.90356834,0.4284439924587757
Buck Creek,27/10/2009,0.059,0.059,1,0.059,58373,10,301,2009.8199771689497,1918,2010,-0.904888122,0.42564948818659365
Buck Creek,28/10/2003,0.175,0.175,1,0.175,56182,10,302,2003.8227168949772,1846,2004,-0.897427197,0.44116258514793977
Buck Creek,28/10/2008,0.104,0.104,1,0.104,58009,10,302,2008.8232012750454,1906,2009,-0.896080386,0.44389181233697667
Buck Creek,28/10/2018,0.111,0.111,1,0.111,61661,10,302,2018.8227168949772,2026,2019,-0.897427197,0.4411625851470374
Buck Creek,28/10/2020,0.045,0.045,1,0.045,62392,10,302,2020.8232012750454,2050,2021,-0.896080386,0.44389181233592984
Buck Creek,29/10/2003,0.162,0.162,1,0.162,56183,10,303,2003.8254566210046,1846,2004,-0.889700345,0.45654495611125334
Buck Creek,29/10/2007,0.085,0.085,1,0.085,57644,10,303,2007.8254566210046,1894,2008,-0.889700345,0.45654495611036744
Buck Creek,29/10/2015,0.101,0.101,1,0.101,60566,10,303,2015.8254566210046,1990,2016,-0.889700345,0.4565449561118323
Buck Creek,29/10/2017,0.098,0.098,1,0.098,61297,10,303,2017.8254566210046,2014,2018,-0.889700345,0.4565449561113894
Buck Creek,29/10/2018,0.095,0.095,1,0.095,61662,10,303,2018.8254566210046,2026,2019,-0.889700345,0.4565449561103587
Buck Creek,29/10/2019,0.049,0.049,1,0.049,62027,10,303,2019.8254566210046,2038,2020,-0.889700345,0.4565449561109464
Buck Creek,03/10/2006,0.172,0.172,1,0.172,57253,10,277,2006.7542237442922,1882,2007,-0.999647873,0.026535453021780592
Buck Creek,03/10/2017,0.151,0.151,1,0.151,61271,10,277,2017.7542237442922,2014,2018,-0.999647873,0.026535453021770794
Buck Creek,30/10/2003,0.178,0.178,1,0.178,56184,10,304,2003.828196347032,1846,2004,-0.881709855,0.47179204295103716
Buck Creek,30/10/2005,0.139,0.139,1,0.139,56915,10,304,2005.828196347032,1870,2006,-0.881709855,0.471792043
Buck Creek,30/10/2007,0.094,0.094,1,0.094,57645,10,304,2007.828196347032,1894,2008,-0.881709855,0.4717920429517631
Buck Creek,30/10/2017,0.153,0.153,1,0.153,61298,10,304,2017.828196347032,2014,2018,-0.881709855,0.471792043
Buck Creek,30/10/2018,0.084,0.084,1,0.084,61663,10,304,2018.828196347032,2026,2019,-0.881709855,0.4717920429517544
Buck Creek,31/10/2003,0.162,0.162,1,0.162,56185,10,305,2003.8309360730593,1846,2004,-0.873458096,0.48689932762799076
Buck Creek,31/10/2006,0.468,0.468,1,0.468,57281,10,305,2006.8309360730593,1882,2007,-0.873458096,0.4868993276265441
Buck Creek,31/10/2013,0.216,0.216,1,0.216,59838,10,305,2013.8309360730593,1966,2014,-0.873458096,0.48689932762740523
Buck Creek,31/10/2017,0.143,0.143,1,0.143,61299,10,305,2017.8309360730593,2014,2018,-0.873458096,0.48689932762653554
Buck Creek,31/10/2019,0.045,0.045,1,0.045,62029,10,305,2019.8309360730593,2038,2020,-0.873458096,0.48689932762768945
Buck Creek,04/10/2005,0.151,0.151,1,0.151,56889,10,278,2005.7569634703195,1870,2006,-0.999043,0.043738816
Buck Creek,04/10/2016,0.204,0.204,1,0.204,60907,10,278,2016.7576275045537,2002,2017,-0.998851816,0.047906680885944276
Buck Creek,06/10/2010,0.111,0.111,1,0.111,58717,10,280,2010.7624429223745,1930,2011,-0.996945407,0.078101567
Buck Creek,06/10/2015,0.195,0.195,1,0.195,60543,10,280,2015.7624429223745,1990,2016,-0.996945407,0.078101567
Buck Creek,07/10/2003,0.111,0.111,1,0.111,56161,10,281,2003.7651826484018,1846,2004,-0.995453309,0.095250772
Buck Creek,07/10/2014,0.039,0.039,1,0.039,60179,10,281,2014.7651826484018,1978,2015,-0.995453309,0.095250772
Buck Creek,08/10/2001,0.132,0.132,1,0.132,55432,10,282,2001.7679223744292,1822,2002,-0.993666236,0.11237175161602116
Buck Creek,08/10/2002,0.15,0.15,1,0.15,55797,10,282,2002.7679223744292,1834,2003,-0.993666236,0.11237175161487006
Buck Creek,08/10/2005,0.093,0.093,1,0.093,56893,10,282,2005.7679223744292,1870,2006,-0.993666236,0.11237175161503173
Buck Creek,08/10/2013,0.109,0.109,1,0.109,59815,10,282,2013.7679223744292,1966,2014,-0.993666236,0.11237175161486032
Buck Creek,09/10/2005,0.088,0.088,1,0.088,56894,10,283,2005.7706621004565,1870,2006,-0.991584719,0.12945943335626814
Buck Creek,09/10/2012,0.097,0.097,1,0.097,59451,10,283,2012.7712887067396,1954,2013,-0.991067343,0.1333623716483536
Buck Creek,01/11/2005,0.158,0.158,1,0.158,56917,11,306,2005.8336757990867,1871,2006,-0.864947512,0.5018623335239997
Buck Creek,01/11/2013,0.4,0.4,1,0.4,59839,11,306,2013.8336757990867,1967,2014,-0.864947512,0.5018623335238505
Buck Creek,01/11/2016,0.102,0.102,1,0.102,60935,11,306,2016.8341302367942,2003,2017,-0.863511012,0.504329983
Buck Creek,01/11/2019,0.08,0.08,1,0.08,62030,11,306,2019.8336757990867,2039,2020,-0.864947512,0.5018623335241319
Buck Creek,10/11/2005,0.26,0.26,1,0.26,56926,11,315,2005.8583333333333,1871,2006,-0.777145961,0.6293203910500316
Buck Creek,10/11/2009,0.125,0.125,1,0.125,58387,11,315,2009.8583333333333,1919,2010,-0.777145961,0.6293203910492577
Buck Creek,10/11/2020,0.106,0.106,1,0.106,62405,11,315,2020.8587204007285,2051,2021,-0.775613147,0.6312085596103304
Buck Creek,12/11/2008,0.123,0.123,1,0.123,58024,11,317,2008.864184881603,1907,2009,-0.753488152,0.6574614851757388
Buck Creek,13/11/2007,0.178,0.178,1,0.178,57659,11,318,2007.8665525114154,1895,2008,-0.743624574,0.6685974072687687
Buck Creek,14/11/2006,0.44,0.44,1,0.44,57295,11,319,2006.869292237443,1883,2007,-0.732005593,0.6812986219861227
Buck Creek,14/11/2017,0.169,0.169,1,0.169,61313,11,319,2017.869292237443,2015,2018,-0.732005593,0.6812986219861156
Buck Creek,14/11/2018,0.108,0.108,1,0.108,61678,11,319,2018.869292237443,2027,2019,-0.732005593,0.6812986219865991
Buck Creek,14/11/2019,0.144,0.144,1,0.144,62043,11,319,2019.869292237443,2039,2020,-0.732005593,0.6812986219870826
Buck Creek,15/11/2005,0.218,0.218,1,0.218,56931,11,320,2005.8720319634704,1871,2006,-0.720169702,0.6937979532181462
Buck Creek,15/11/2016,0.176,0.176,1,0.176,60949,11,320,2016.8723816029144,2003,2017,-0.718643796,0.6953783821522957
Buck Creek,16/11/2004,0.263,0.263,1,0.263,56567,11,321,2004.8751138433515,1859,2005,-0.706600808,0.7076123929302613
Buck Creek,17/11/2015,0.132,0.132,1,0.132,60585,11,322,2015.877511415525,1991,2016,-0.695861287,0.718176211
Buck Creek,18/11/2003,0.238,0.238,1,0.238,56203,11,323,2003.8802511415524,1847,2004,-0.683395964,0.7300479134646732
Buck Creek,18/11/2014,0.287,0.287,1,0.287,60221,11,323,2014.8802511415524,1979,2015,-0.683395964,0.7300479134646666
Buck Creek,19/11/2002,0.235,0.235,1,0.235,55839,11,324,2002.882991,1835,2003,-0.670728137,0.7417032871179106
Buck Creek,19/11/2013,0.504,0.504,1,0.504,59857,11,324,2013.882991,1967,2014,-0.670728137,0.741703287
Buck Creek,02/11/2004,0.157,0.157,1,0.157,56553,11,307,2004.8368624772313,1859,2005,-0.854726277,0.519078984
Buck Creek,02/11/2013,0.465,0.465,1,0.465,59840,11,307,2013.8364155251143,1967,2014,-0.856180625,0.5166766267813682
Buck Creek,20/11/2001,0.252,0.252,1,0.252,55475,11,325,2001.8857305936074,1823,2002,-0.657861559,0.7531388780798987
Buck Creek,20/11/2012,0.396,0.396,1,0.396,59493,11,325,2012.8860428051003,1955,2013,-0.656382874,0.7544279437540033
Buck Creek,21/11/2007,0.21,0.21,1,0.21,57667,11,326,2007.8884703196347,1895,2008,-0.644800042,0.7643512977376979
Buck Creek,22/11/2007,0.279,0.279,1,0.279,57668,11,327,2007.891210045662,1895,2008,-0.631547456,0.7753372236097333
Buck Creek,22/11/2011,0.36,0.36,1,0.36,59129,11,327,2011.891210045662,1943,2012,-0.631547456,0.7753372236102533
Buck Creek,23/11/2007,0.265,0.265,1,0.265,57669,11,328,2007.8939497716894,1895,2008,-0.61810773,0.7860934003304122
Buck Creek,23/11/2010,0.291,0.291,1,0.291,58765,11,328,2010.8939497716894,1931,2011,-0.61810773,0.7860934003305128
Buck Creek,23/11/2020,0.179,0.179,1,0.179,62418,11,328,2020.8942395264116,2051,2021,-0.616675559,0.7872174131333742
Buck Creek,24/11/2009,0.161,0.161,1,0.161,58401,11,329,2009.8966894977168,1919,2010,-0.604484845,0.7966166406098609
Buck Creek,24/11/2020,0.14,0.14,1,0.14,62419,11,329,2020.8969717668488,2051,2021,-0.603071056,0.7976874708304298
Buck Creek,25/11/2008,0.216,0.216,1,0.216,58037,11,330,2008.899704007286,1907,2009,-0.589288826,0.8079224463670097
Buck Creek,26/11/2019,0.175,0.175,1,0.175,62055,11,331,2019.9021689497717,2039,2020,-0.576705799,0.8169519087470286
Buck Creek,27/11/2007,0.274,0.274,1,0.274,57673,11,332,2007.904908675799,1895,2008,-0.56255787,0.8267579108245247
Buck Creek,27/11/2018,0.139,0.139,1,0.139,61691,11,332,2018.904908675799,2027,2019,-0.56255787,0.8267579108245191
Buck Creek,28/11/2006,0.473,0.473,1,0.473,57309,11,333,2006.9076484018265,1883,2007,-0.548243242,0.8363189266891342
Buck Creek,28/11/2017,0.221,0.221,1,0.221,61327,11,333,2017.9076484018265,2015,2018,-0.548243242,0.8363189266891289
Buck Creek,29/11/2005,0.248,0.248,1,0.248,56945,11,334,2005.9103881278538,1871,2006,-0.533766159,0.8456321232075391
Buck Creek,29/11/2016,0.186,0.186,1,0.186,60963,11,334,2016.9106329690346,2003,2017,-0.532464622,0.8464522587617322
Buck Creek,03/11/2015,0.106,0.106,1,0.106,60571,11,308,2015.8391552511416,1991,2016,-0.847160034,0.5313378176031364
Buck Creek,30/11/2004,0.459,0.459,1,0.459,56581,11,335,2004.9133652094717,1859,2005,-0.517855683,0.8554679953621867
Buck Creek,04/11/2003,0.157,0.157,1,0.157,56189,11,309,2003.841894977169,1847,2004,-0.837888411,0.5458415615622024
Buck Creek,04/11/2014,0.218,0.218,1,0.218,60207,11,309,2014.841894977169,1979,2015,-0.837888411,0.5458415615621942
Buck Creek,05/11/2002,0.209,0.209,1,0.209,55825,11,310,2002.8446347031963,1835,2003,-0.828368504,0.5601835608848308
Buck Creek,05/11/2008,0.099,0.099,1,0.099,58017,11,310,2008.845059198543,1907,2009,-0.826871447,0.5623909760610671
Buck Creek,05/11/2013,0.389,0.389,1,0.389,59843,11,310,2013.8446347031963,1967,2014,-0.828368504,0.5601835608848227
Buck Creek,05/11/2020,0.122,0.122,1,0.122,62400,11,310,2020.845059198543,2051,2021,-0.826871447,0.5623909760601012
Buck Creek,06/11/2001,0.169,0.169,1,0.169,55461,11,311,2001.8473744292237,1823,2002,-0.818603133,0.5743595657301355
Buck Creek,06/11/2005,0.169,0.169,1,0.169,56922,11,311,2005.8473744292237,1871,2006,-0.818603133,0.5743595657308094
Buck Creek,06/11/2012,0.326,0.326,1,0.326,59479,11,311,2012.847791,1955,2013,-0.817095417,0.576502454
Buck Creek,06/11/2017,0.094,0.094,1,0.094,61305,11,311,2017.8473744292237,2015,2018,-0.818603133,0.5743595657298531
Buck Creek,08/11/2011,0.336,0.336,1,0.336,59115,11,313,2011.8528538812786,1943,2012,-0.798347647,0.6021968397924963
Buck Creek,09/11/2005,0.214,0.214,1,0.214,56925,11,314,2005.855593607306,1871,2006,-0.787863535,0.6158498602227747
Buck Creek,09/11/2010,0.241,0.241,1,0.241,58751,11,314,2010.855593607306,1931,2011,-0.787863535,0.6158498602239437
Buck Creek,01/12/2015,0.234,0.234,1,0.234,60599,12,336,2015.9158675799088,1992,2016,-0.504341829,0.8635040936504781
Buck Creek,10/12/2019,0.253,0.253,1,0.253,62069,12,345,2019.9405251141552,2040,2020,-0.36505486,0.930986009
Buck Creek,11/12/2007,0.33,0.33,1,0.33,57687,12,346,2007.9432648401826,1896,2008,-0.348975379,0.9371318929228584
Buck Creek,11/12/2018,0.196,0.196,1,0.196,61705,12,346,2018.9432648401826,2028,2019,-0.348975379,0.9371318929228549
Buck Creek,12/12/2006,0.533,0.533,1,0.533,57323,12,347,2006.9460045662101,1884,2007,-0.33279249,0.943000084
Buck Creek,12/12/2017,0.28,0.28,1,0.28,61341,12,347,2017.9460045662101,2016,2018,-0.33279249,0.9430000842118148
Buck Creek,13/12/2005,0.357,0.357,1,0.357,56959,12,348,2005.9487442922375,1872,2006,-0.316510987,0.9485888442242066
Buck Creek,13/12/2016,0.283,0.283,1,0.283,60977,12,348,2016.9488843351548,2004,2017,-0.315676186,0.9488669799198814
Buck Creek,14/12/2004,0.496,0.496,1,0.496,56595,12,349,2004.951616575592,1860,2005,-0.299341107,0.9541461636976958
Buck Creek,15/12/2015,0.197,0.197,1,0.197,60613,12,350,2015.9542237442922,1992,2016,-0.283671466,0.9589215294303582
Buck Creek,16/12/2003,0.41,0.41,1,0.41,56231,12,351,2003.9569634703196,1848,2004,-0.267123179,0.9636623928268501
Buck Creek,16/12/2014,0.468,0.468,1,0.468,60249,12,351,2014.9569634703196,1980,2015,-0.267123179,0.9636623928268475
Buck Creek,17/12/2002,0.417,0.417,1,0.417,55867,12,352,2002.959703196347,1836,2003,-0.250495738,0.9681177022583405
Buck Creek,17/12/2013,0.556,0.556,1,0.556,59885,12,352,2013.959703196347,1968,2014,-0.250495738,0.968117702
Buck Creek,18/12/2012,0.542,0.542,1,0.542,59521,12,353,2012.9625455373407,1956,2013,-0.23316714,0.9724366738777056
Buck Creek,19/12/2001,0.332,0.332,1,0.332,55504,12,354,2001.9651826484019,1824,2002,-0.217023122,0.9761664634184622
Buck Creek,02/12/2003,0.316,0.316,1,0.316,56217,12,337,2003.9186073059361,1848,2004,-0.489403302,0.872057572
Buck Creek,02/12/2014,0.462,0.462,1,0.462,60235,12,337,2014.9186073059361,1980,2015,-0.489403302,0.8720575717241232
Buck Creek,20/12/2011,0.846,0.846,1,0.846,59157,12,355,2011.9679223744292,1944,2012,-0.200187867,0.97975753
Buck Creek,21/12/2010,0.518,0.518,1,0.518,58793,12,356,2010.9706621004566,1932,2011,-0.183293292,0.9830582735300798
Buck Creek,22/12/2009,0.308,0.308,1,0.308,58429,12,357,2009.973401826484,1920,2010,-0.166344403,0.9860677155524509
Buck Creek,22/12/2020,0.218,0.218,1,0.218,62447,12,357,2020.9734744990892,2052,2021,-0.165894132,0.9861435681770354
Buck Creek,23/12/2019,0.253,0.253,1,0.253,62082,12,358,2019.9761415525113,2040,2020,-0.149346222,0.9887849644299406
Buck Creek,26/12/2006,0.62,0.62,1,0.62,57337,12,361,2006.9843607305936,1884,2007,-0.098106366,0.9951759347176669
Buck Creek,26/12/2007,0.165,0.165,1,0.165,57702,12,361,2007.9843607305936,1896,2008,-0.098106366,0.9951759347177316
Buck Creek,26/12/2017,0.304,0.304,1,0.304,61355,12,361,2017.9843607305936,2016,2018,-0.098106366,0.9951759347176659
Buck Creek,27/12/2005,0.512,0.512,1,0.512,56973,12,362,2005.987100456621,1872,2006,-0.080961512,0.9967172284752742
Buck Creek,27/12/2016,0.298,0.298,1,0.298,60991,12,362,2016.987135701275,2004,2017,-0.080740789,0.996735133
Buck Creek,28/12/2004,0.498,0.498,1,0.498,56609,12,363,2004.9898679417122,1860,2005,-0.063618607,0.9979742846477391
