Family,Species,Wood_Density_g_cm3,DBH_cm,Height_m
Olacaceae,Strombosiopsis tetrandra,0.663,17.3,18.83
Olacaceae,Strombosiopsis tetrandra,0.663,71,33.73
Rubiaceae,Massularia acuminata,0.69565607,29.1,24.19
Olacaceae,Strombosiopsis tetrandra,0.663,10.8,14.9
Malvaceae,Cola nitida,0.601095238,18.1,20.09
Fabaceae,Angylocalyx pynaertii,0.68331525,16.2,18.65
Fabaceae,Angylocalyx pynaertii,0.68331525,40.1,25.2
Fabaceae,Dialium pachyphyllum,0.9225,18.6,19.29
Fabaceae,Angylocalyx pynaertii,0.68331525,21.4,22.83
Fabaceae,Angylocalyx pynaertii,0.68331525,18.1,20.09
Fabaceae,Pentaclethra macrophylla,0.841,25,21.31
Clusiaceae,Garcinia punctata,0.824,19.8,18.74
Fabaceae,Angylocalyx pynaertii,0.68331525,13.4,15.62
Malvaceae,Duboscia macrocarpa,0.47991805,16.1,20.81
Irvingiaceae,Desbordesia glaucescens,0.919,10.9,15.38
Malvaceae,Cola nitida,0.601095238,29.9,23.82
Meliaceae,Guarea thompsonii,0.551888889,10.8,18.61
Fabaceae,Angylocalyx pynaertii,0.68331525,24.1,21.88
Lecythidaceae,Petersianthus macrocarpus,0.6765,39.6,26.74
Lecythidaceae,Petersianthus macrocarpus,0.6765,15.9,17.68
Fabaceae,Angylocalyx pynaertii,0.68331525,11.5,17.72
Olacaceae,Strombosia grandifolia,0.8245,18.5,18.23
Malvaceae,Duboscia macrocarpa,0.47991805,17.6,18.09
Malvaceae,Cola nitida,0.601095238,14.7,18.63
Ochnaceae,Lophira alata,0.8969,16.5,21.34
Ebenaceae,Diospyros crassiflora,0.8582,76.5,32.73
Fabaceae,Angylocalyx pynaertii,0.68331525,11.9,19.72
Clusiaceae,Garcinia indet,0.771388889,11.8,19.57
Fabaceae,Angylocalyx pynaertii,0.68331525,12.8,16.27
Fabaceae,Angylocalyx pynaertii,0.68331525,13.2,16.09
Lecythidaceae,Petersianthus macrocarpus,0.6765,12.8,15.52
Fabaceae,Angylocalyx pynaertii,0.68331525,60.2,32.07
Annonaceae,Cleistopholis indet,0.32235,18.1,18.99
Olacaceae,Strombosiopsis tetrandra,0.663,13.2,15.65
Clusiaceae,Garcinia punctata,0.824,17,17.38
Ochnaceae,Lophira alata,0.8969,18.5,18.23
Ochnaceae,Lophira alata,0.8969,35.3,28.09
Meliaceae,Entandrophragma cylindricum,0.5715,90.4,35.5
Olacaceae,Strombosiopsis tetrandra,0.663,14.3,18.43
Clusiaceae,Garcinia punctata,0.824,29.8,23.87
Myristicaceae,Pycnanthus angolensis,0.4089,20.2,22.64
Pandaceae,Panda oleosa,0.565,12.1,17.12
Sapindaceae,Blighia indet,0.68525,18.5,21.9
Rubiaceae,Corynanthe pachyceras,0.6735,10.9,18.52
Lecythidaceae,Petersianthus macrocarpus,0.6765,15.3,18.35
Irvingiaceae,Klainedoxa gabonensis,0.925583333,58.8,33.05
Malvaceae,Cola nitida,0.601095238,17.7,19.28
Irvingiaceae,Irvingia grandifolia,0.8005,14.5,17.14
Olacaceae,Strombosiopsis tetrandra,0.663,58.8,33.05
Olacaceae,Strombosiopsis tetrandra,0.663,26.8,22.86
Rubiaceae,Corynanthe pachyceras,0.6735,11.8,19.57
Fabaceae,Angylocalyx pynaertii,0.68331525,20.9,20.72
Olacaceae,Strombosiopsis tetrandra,0.663,24.4,21.67
Fabaceae,Dialium pachyphyllum,0.9225,21.2,20.21
Fabaceae,Angylocalyx pynaertii,0.68331525,12.5,17.81
Rubiaceae,Massularia acuminata,0.69565607,15,20.99
Phyllanthaceae,Uapaca paludosa,0.652,17.6,18.09
Clusiaceae,Garcinia punctata,0.824,35.3,28.09
Olacaceae,Strombosiopsis tetrandra,0.663,12.8,17.66
Irvingiaceae,Klainedoxa gabonensis,0.925583333,17.9,18.18
Rubiaceae,Massularia acuminata,0.69565607,37.4,24.29
Clusiaceae,Garcinia indet,0.771388889,61.9,31.26
Clusiaceae,Garcinia punctata,0.824,12.8,16.27
Olacaceae,Strombosiopsis tetrandra,0.663,23.1,19.95
Phyllanthaceae,Uapaca paludosa,0.652,38.7,28.17
Ochnaceae,Lophira alata,0.8969,51.5,29.34
Fabaceae,Dialium pachyphyllum,0.9225,22.9,21.8
Myristicaceae,Staudtia kamerunensis,0.793888889,14.8,19.61
Meliaceae,Entandrophragma cylindricum,0.5715,10.3,18.44
Burseraceae,Dacryodes indet,0.564837872,15,20.56
Olacaceae,Strombosiopsis tetrandra,0.663,14.1,18.17
Fabaceae,Angylocalyx pynaertii,0.68331525,13.2,16.47
Clusiaceae,Garcinia indet,0.771388889,17.3,18.25
Violaceae,Rinorea oblongifolia,0.696129254,24.4,21.67
Lecythidaceae,Petersianthus macrocarpus,0.6765,10.9,18.58
Meliaceae,Trichilia indet,0.4825,14.7,20
Olacaceae,Strombosia grandifolia,0.8245,47.3,30.71
Olacaceae,Strombosia grandifolia,0.8245,29.4,26.07
Clusiaceae,Garcinia punctata,0.824,32.3,26.14
Ochnaceae,Lophira alata,0.8969,50.8,32.15
Olacaceae,Strombosiopsis tetrandra,0.663,20.9,20.88
Olacaceae,Strombosiopsis tetrandra,0.663,11.6,16.59
Irvingiaceae,Irvingia grandifolia,0.8005,19,20.85
Fabaceae,Angylocalyx pynaertii,0.68331525,16.6,20.23
Lecythidaceae,Petersianthus macrocarpus,0.6765,37.4,24.29
Olacaceae,Strombosia indet,0.827392857,21.9,19.28
Olacaceae,Strombosiopsis tetrandra,0.663,31.5,24.15
Olacaceae,Strombosia grandifolia,0.8245,23.9,21.46
Clusiaceae,Garcinia punctata,0.824,10.9,16.17
Rubiaceae,Massularia acuminata,0.69565607,30.7,25.09
Olacaceae,Strombosiopsis tetrandra,0.663,11.8,19.4
Clusiaceae,Garcinia punctata,0.824,17.2,18.21
Fabaceae,Angylocalyx pynaertii,0.68331525,81.4,35.98
Olacaceae,Strombosiopsis tetrandra,0.663,11.2,14.43
Clusiaceae,Garcinia punctata,0.824,40.4,27.1
Myristicaceae,Staudtia indet,0.793888889,13.2,16.09
Fabaceae,Platysepalum chevalieri,0.68331525,39.6,26.74
Olacaceae,Strombosiopsis tetrandra,0.663,15.9,17.07
Lecythidaceae,Petersianthus macrocarpus,0.6765,12.9,19.19
Clusiaceae,Garcinia punctata,0.824,15.6,21.26
Myristicaceae,Coelocaryon preussii,0.4972,10.8,18.61
Lecythidaceae,Petersianthus macrocarpus,0.6765,13.2,16.09
Fabaceae,Angylocalyx pynaertii,0.68331525,15.8,18.21
Fabaceae,Angylocalyx pynaertii,0.68331525,10.7,15.74
Malvaceae,Duboscia macrocarpa,0.47991805,20.5,23.61
Lecythidaceae,Petersianthus macrocarpus,0.6765,17.6,18.09
Ochnaceae,Lophira alata,0.8969,52.6,31.76
Fabaceae,Dialium pachyphyllum,0.9225,52.6,31.76
Fabaceae,Angylocalyx pynaertii,0.68331525,51.2,30.37
Clusiaceae,Garcinia punctata,0.824,10.4,14.12
Clusiaceae,Garcinia indet,0.771388889,15.6,21.26
Myristicaceae,Coelocaryon preussii,0.4972,23.9,21.46
Fabaceae,Angylocalyx pynaertii,0.68331525,12.9,16.16
Fabaceae,Dialium pachyphyllum,0.9225,37,24.82
Clusiaceae,Garcinia punctata,0.824,13.2,16.47
Lecythidaceae,Petersianthus macrocarpus,0.6765,58.8,33.05
Olacaceae,Strombosia grandifolia,0.8245,60.2,32.07
Malvaceae,Duboscia macrocarpa,0.47991805,11.9,19.72
Fabaceae,Dialium pachyphyllum,0.9225,60.9,29.42
Clusiaceae,Garcinia punctata,0.824,13.6,18.18
Sapindaceae,Blighia indet,0.68525,10.1,16.35
Fabaceae,Angylocalyx pynaertii,0.68331525,14,18.71
Fabaceae,Pentaclethra macrophylla,0.841,16.6,20.23
Fabaceae,Angylocalyx pynaertii,0.68331525,37,24.82
Olacaceae,Strombosia indet,0.827392857,39.6,26.74
Malvaceae,Duboscia macrocarpa,0.47991805,10,17.05
Clusiaceae,Garcinia punctata,0.824,12.9,16.38
Clusiaceae,Garcinia punctata,0.824,29.5,22.51
Fabaceae,Angylocalyx pynaertii,0.68331525,33.7,23.5
Olacaceae,Strombosiopsis tetrandra,0.663,39.6,26.74
Malvaceae,Duboscia macrocarpa,0.47991805,58.3,29.09
Fabaceae,Angylocalyx pynaertii,0.68331525,25.1,24.47
Malvaceae,Cola nitida,0.601095238,46,26.95
Fabaceae,Angylocalyx pynaertii,0.68331525,13.9,17.43
Fabaceae,Angylocalyx pynaertii,0.68331525,11.6,16.11
Fabaceae,Angylocalyx pynaertii,0.68331525,48.2,30.1
Fabaceae,Pterocarpus soyauxii,0.657785714,16.8,18.47
Malvaceae,Cola nitida,0.601095238,11.7,17.25
Fabaceae,Angylocalyx pynaertii,0.68331525,46,26.52
Rubiaceae,Massularia acuminata,0.69565607,12.1,16.1
Clusiaceae,Garcinia punctata,0.824,24.5,23.74
Myristicaceae,Pycnanthus angolensis,0.4089,30.1,25.69
Lecythidaceae,Petersianthus macrocarpus,0.6765,53.8,30.35
Lecythidaceae,Petersianthus macrocarpus,0.6765,13.2,16.47
Lecythidaceae,Petersianthus macrocarpus,0.6765,17.5,18.36
Olacaceae,Strombosia grandifolia,0.8245,11.8,16.58
Fabaceae,Angylocalyx pynaertii,0.68331525,12.4,18.41
Fabaceae,Angylocalyx pynaertii,0.68331525,10.1,16.35
Fabaceae,Angylocalyx pynaertii,0.68331525,12.1,16.1
Olacaceae,Strombosiopsis tetrandra,0.663,11.2,14.43
Clusiaceae,Garcinia punctata,0.824,38.7,28.17
Rubiaceae,Massularia acuminata,0.69565607,56.8,32.1
Fabaceae,Angylocalyx pynaertii,0.68331525,17.6,19.79
Fabaceae,Angylocalyx pynaertii,0.68331525,16.1,19.54
Olacaceae,Strombosiopsis tetrandra,0.663,24.5,23.74
Fabaceae,Platysepalum chevalieri,0.68331525,39.6,26.74
Myristicaceae,Pycnanthus angolensis,0.4089,13.2,16.47
Fabaceae,Angylocalyx pynaertii,0.68331525,29.5,24.63
Myristicaceae,Pycnanthus angolensis,0.4089,15.8,18.21
Fabaceae,Angylocalyx pynaertii,0.68331525,65.4,30.44
Malvaceae,Duboscia macrocarpa,0.47991805,11.8,16.58
Pandaceae,Panda oleosa,0.565,39.6,26.74
Clusiaceae,Garcinia punctata,0.824,69.6,31.43
Rubiaceae,Corynanthe pachyceras,0.6735,11.7,19.01
Rubiaceae,Massularia acuminata,0.69565607,11.5,17.72
Fabaceae,Angylocalyx pynaertii,0.68331525,79.9,33.91
Rubiaceae,Massularia acuminata,0.69565607,18.1,22.18
Pandaceae,Panda oleosa,0.565,13.8,17.39
Malvaceae,Cola nitida,0.601095238,38.8,27.64
Fabaceae,Angylocalyx pynaertii,0.68331525,18.6,19.29
Fabaceae,Dialium pachyphyllum,0.9225,56.8,29.4
Olacaceae,Strombosiopsis tetrandra,0.663,12.3,15.48
Clusiaceae,Symphonia globulifera,0.588714286,14.5,17.14
Ebenaceae,Diospyros crassiflora,0.8582,20.1,19.08
Olacaceae,Strombosiopsis tetrandra,0.663,10.9,18.58
Meliaceae,Trichilia indet,0.4825,10.9,18.58
Meliaceae,Trichilia indet,0.4825,58.8,33.05
Fabaceae,Angylocalyx pynaertii,0.68331525,16.3,19.38
Pandaceae,Panda oleosa,0.565,29.4,26.07
Phyllanthaceae,Uapaca paludosa,0.652,60.2,32.07
Lecythidaceae,Petersianthus macrocarpus,0.6765,55.1,28.31
Moraceae,Milicia excelsa,0.575458333,22,20.41
Fabaceae,Angylocalyx pynaertii,0.68331525,11.9,18.29
Olacaceae,Strombosia grandifolia,0.8245,55.5,33.02
Malvaceae,Duboscia macrocarpa,0.47991805,16.3,17.67
Malvaceae,Cola nitida,0.601095238,28.8,24.83
Fabaceae,Angylocalyx pynaertii,0.68331525,14.7,20
Meliaceae,Trichilia indet,0.4825,12.8,17.66
Olacaceae,Strombosiopsis tetrandra,0.663,11.6,16.12
Moraceae,Milicia excelsa,0.575458333,26.8,22.86
Olacaceae,Strombosiopsis tetrandra,0.663,58.3,29.09
Sapindaceae,Blighia indet,0.68525,13.4,16.75
Rubiaceae,Massularia acuminata,0.69565607,11.8,19.21
Clusiaceae,Garcinia punctata,0.824,10.4,16.28
Meliaceae,Guarea thompsonii,0.551888889,11.2,17.28
Myristicaceae,Staudtia indet,0.793888889,40.3,29.38
Clusiaceae,Garcinia punctata,0.824,17,18.9
Fabaceae,Angylocalyx pynaertii,0.68331525,10.5,18.58
Annonaceae,Cleistopholis patens,0.3355,25.1,24.47
Fabaceae,Angylocalyx pynaertii,0.68331525,35.2,27.44
Ochnaceae,Lophira alata,0.8969,17.9,22.15
Olacaceae,Strombosia grandifolia,0.8245,16.3,17.67
Meliaceae,Trichilia indet,0.4825,62.5,29.63
Fabaceae,Angylocalyx pynaertii,0.68331525,20.1,19.08
Olacaceae,Strombosiopsis tetrandra,0.663,11.1,15.14
Clusiaceae,Garcinia punctata,0.824,11,17.91
Clusiaceae,Garcinia punctata,0.824,18.7,18.23
Olacaceae,Strombosiopsis tetrandra,0.663,16.1,19.54
Fabaceae,Angylocalyx pynaertii,0.68331525,11.9,18.71
Fabaceae,Angylocalyx pynaertii,0.68331525,11.9,17.23
Olacaceae,Strombosiopsis tetrandra,0.663,17.7,21.02
Clusiaceae,Garcinia punctata,0.824,13.3,15.76
Malvaceae,Duboscia macrocarpa,0.47991805,22.7,21.38
Rubiaceae,Massularia acuminata,0.69565607,23.1,19.95
Fabaceae,Angylocalyx pynaertii,0.68331525,11.8,15.36
Malvaceae,Duboscia macrocarpa,0.47991805,24.8,24.48
Clusiaceae,Garcinia punctata,0.824,11.2,14.43
Phyllanthaceae,Uapaca paludosa,0.652,13.4,16.75
Fabaceae,Angylocalyx pynaertii,0.68331525,20.4,19.58
Fabaceae,Angylocalyx pynaertii,0.68331525,12.9,19.21
Irvingiaceae,Desbordesia glaucescens,0.919,31.9,25.32
Pandaceae,Panda oleosa,0.565,24.1,21.88
Olacaceae,Strombosia grandifolia,0.8245,29.4,26.07
Clusiaceae,Garcinia punctata,0.824,12.8,17.66
Irvingiaceae,Irvingia grandifolia,0.8005,14.8,17.69
Ochnaceae,Lophira alata,0.8969,23.5,22.33
Violaceae,Rinorea oblongifolia,0.696129254,11.6,16.11
Clusiaceae,Garcinia punctata,0.824,10.4,14.12
Myristicaceae,Staudtia kamerunensis,0.793888889,50.8,32.15
Meliaceae,Trichilia indet,0.4825,17.9,22.15
Pandaceae,Panda oleosa,0.565,34.8,24.45
Clusiaceae,Garcinia punctata,0.824,20.1,19.08
Clusiaceae,Garcinia punctata,0.824,11.8,19.26
Clusiaceae,Garcinia punctata,0.824,21.4,23.49
Fabaceae,Angylocalyx pynaertii,0.68331525,13.4,15.78
Pandaceae,Panda oleosa,0.565,38.8,27.64
Olacaceae,Strombosiopsis tetrandra,0.663,17.2,18.21
Malvaceae,Cola nitida,0.601095238,11.8,16.58
Sapindaceae,Eriocoelum microspermum,0.523,12.6,15.15
Malvaceae,Duboscia macrocarpa,0.47991805,10.3,16.65
Fabaceae,Angylocalyx pynaertii,0.68331525,17.1,19.18
Irvingiaceae,Desbordesia glaucescens,0.919,11.8,19.4
Irvingiaceae,Klainedoxa gabonensis,0.925583333,21.2,20.21
Myristicaceae,Staudtia kamerunensis,0.793888889,11.8,19.4
Olacaceae,Strombosiopsis tetrandra,0.663,18.1,19.6
Fabaceae,Angylocalyx pynaertii,0.68331525,12.1,17.08
Clusiaceae,Garcinia punctata,0.824,16.1,20.81
Ebenaceae,Diospyros crassiflora,0.8582,11.9,15.9
Moraceae,Milicia excelsa,0.575458333,10.3,18.44
Fabaceae,Angylocalyx pynaertii,0.68331525,25.1,23.31
Fabaceae,Dialium pachyphyllum,0.9225,12.6,15.15
Clusiaceae,Garcinia punctata,0.824,23.1,19.95
Clusiaceae,Garcinia punctata,0.824,14.7,18.63
Lecythidaceae,Petersianthus macrocarpus,0.6765,13.9,17.43
Olacaceae,Strombosiopsis tetrandra,0.663,16.3,20.3
Fabaceae,Angylocalyx pynaertii,0.68331525,58.8,33.05
Ebenaceae,Diospyros mannii,0.813,20.6,22.11
Phyllanthaceae,Uapaca paludosa,0.652,11,17.91
Phyllanthaceae,Uapaca paludosa,0.652,19.6,22.07
Clusiaceae,Garcinia punctata,0.824,16.1,20.95
Myrtaceae,Syzygium indet,0.64825,10,18.3
Myristicaceae,Staudtia kamerunensis,0.793888889,24.8,24.48
Fabaceae,Angylocalyx pynaertii,0.68331525,11.1,15.14
Clusiaceae,Garcinia punctata,0.824,27.3,25.65
Violaceae,Rinorea oblongifolia,0.696129254,29.1,24.19
Fabaceae,Angylocalyx pynaertii,0.68331525,15.9,18.63
Lecythidaceae,Petersianthus macrocarpus,0.6765,62.5,29.63
Fabaceae,Angylocalyx pynaertii,0.68331525,10.6,17.29
Meliaceae,Trichilia indet,0.4825,12.2,17.78
Rubiaceae,Massularia acuminata,0.69565607,29.5,22.51
Meliaceae,Trichilia indet,0.4825,13.4,15.89
Ebenaceae,Diospyros crassiflora,0.8582,72.7,32.38
Lecythidaceae,Petersianthus macrocarpus,0.6765,14.8,17.78
Clusiaceae,Garcinia punctata,0.824,19,20.85
Fabaceae,Angylocalyx pynaertii,0.68331525,76.5,32.73
Fabaceae,Angylocalyx pynaertii,0.68331525,11.5,17.05
Ochnaceae,Lophira alata,0.8969,61.5,33.86
Olacaceae,Strombosiopsis tetrandra,0.663,12.4,19.27
Olacaceae,Strombosiopsis tetrandra,0.663,29.6,22.62
Irvingiaceae,Klainedoxa gabonensis,0.925583333,13.4,15.89
Fabaceae,Angylocalyx pynaertii,0.68331525,10.4,14.12
Fabaceae,Dialium indet,0.837097222,11.8,19.4
Ebenaceae,Diospyros crassiflora,0.8582,49.3,29.65
Rubiaceae,Massularia acuminata,0.69565607,26.8,22.86
Clusiaceae,Garcinia punctata,0.824,14,17.79
Fabaceae,Angylocalyx pynaertii,0.68331525,38.7,28.17
Olacaceae,Strombosiopsis tetrandra,0.663,25,23.8
Clusiaceae,Garcinia punctata,0.824,37.5,27.06
Irvingiaceae,Klainedoxa gabonensis,0.925583333,20.3,19.17
Malvaceae,Cola nitida,0.601095238,13.9,18.34
Phyllanthaceae,Uapaca paludosa,0.652,31.5,24.15
Fabaceae,Dialium pachyphyllum,0.9225,50.8,32.15
Olacaceae,Strombosiopsis tetrandra,0.663,12.1,16.1
Lecythidaceae,Petersianthus macrocarpus,0.6765,11.8,19.26
Ochnaceae,Lophira alata,0.8969,19.8,19.78
Pandaceae,Panda oleosa,0.565,17.9,18.18
Lecythidaceae,Petersianthus macrocarpus,0.6765,21.2,20.21
Rubiaceae,Massularia acuminata,0.69565607,10.4,14.12
Phyllanthaceae,Uapaca paludosa,0.652,11.1,16.99
Moraceae,Milicia excelsa,0.575458333,18.9,18.11
Irvingiaceae,Irvingia grandifolia,0.8005,44.5,29
Meliaceae,Trichilia indet,0.4825,62.5,29.63
Olacaceae,Strombosiopsis tetrandra,0.663,65.4,30.44
Ochnaceae,Lophira alata,0.8969,10.3,18.44
Fabaceae,Angylocalyx pynaertii,0.68331525,17.9,18.18
Irvingiaceae,Desbordesia glaucescens,0.919,24.1,23.29
Ochnaceae,Lophira alata,0.8969,11.7,15.86
Anacardiaceae,Pseudospondias microcarpa,0.553956566,14,18.71
Olacaceae,Strombosia grandifolia,0.8245,16.6,21.36
Myristicaceae,Coelocaryon preussii,0.4972,20.6,22.11
Rubiaceae,Massularia acuminata,0.69565607,19.7,18.49
Fabaceae,Angylocalyx pynaertii,0.68331525,15.7,20.17
Clusiaceae,Garcinia punctata,0.824,14.8,19.61
Passifloraceae,Barteria fistulosa,0.696129254,10.3,14.34
Phyllanthaceae,Uapaca paludosa,0.652,12.9,19.19
Ochnaceae,Lophira alata,0.8969,76.5,32.73
